Name,Description,IMDB_100_output
Caught,An ambitious young LA department store model gets her wish of marrying a millionaire but she eventually discovers that rich life isn't always a happy one.,[caught] [an] [ambitious] [young] [la] [department] [store] [model] [get] [her] [wish] [of] [marrying] [a] [millionaire] [but] [she] [eventually] [discovers] [that] [rich] [life] [isnt] [always] [a] [happy] [one]
Criss Cross,An armored truck driver and his ex-wife conspire with a gang to have his own truck robbed on the route.,[criss] [cross] [an] [armored] [truck] [driver] [and] [his] [exwife] [conspire] [with] [a] [gang] [to] [have] [his] [own] [truck] [robbed] [on] [the] [route]
Jour de fête,A village postman with no sense of humour delivers his mail via bicycle on the day the travelling fair comes to town. He is disrupted by a short film about US speed and efficiency and the playful teasing of the village folk.,[jour] [de] [fte] [a] [village] [postman] [with] [no] [sense] [of] [humour] [delivers] [his] [mail] [via] [bicycle] [on] [the] [day] [the] [travelling] [fair] [come] [to] [town] [he] [is] [disrupted] [by] [a] [short] [film] [about] [u] [speed] [and] [efficiency] [and] [the] [playful] [teasing] [of] [the] [village] [folk]
Kind Hearts and Coronets,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,[kind] [hearts] [and] [coronets] [a] [distant] [poor] [relative] [of] [the] [duke] [dascoyne] [plot] [to] [inherit] [the] [title] [by] [murdering] [the] [eight] [other] [heir] [who] [stand] [ahead] [of] [him] [in] [the] [line] [of] [succession]
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",[the] [third] [man] [pulp] [novelist] [holly] [martin] [travel] [to] [shadowy] [postwar] [vienna] [only] [to] [find] [himself] [investigating] [the] [mysterious] [death] [of] [an] [old] [friend] [harry] [lime]
White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,[white] [heat] [a] [psychopathic] [criminal] [with] [a] [mother] [complex] [make] [a] [daring] [break] [from] [prison] [and] [lead] [his] [old] [gang] [in] [a] [chemical] [plant] [payroll] [heist]
All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,[all] [about] [eve] [a] [seemingly] [timid] [but] [secretly] [ruthless] [ingnue] [insinuates] [herself] [into] [the] [life] [of] [an] [aging] [broadway] [star] [and] [her] [circle] [of] [theater] [friend]
D.O.A.,"Frank Bigelow, told he's been poisoned and has only a few days to live, tries to find out who killed him and why.",[doa] [frank] [bigelow] [told] [he] [been] [poisoned] [and] [ha] [only] [a] [few] [day] [to] [live] [try] [to] [find] [out] [who] [killed] [him] [and] [why]
Gun Crazy,Two disturbed young people release their fascination with guns through a crime spree.,[gun] [crazy] [two] [disturbed] [young] [people] [release] [their] [fascination] [with] [gun] [through] [a] [crime] [spree]
In a Lonely Place,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",[in] [a] [lonely] [place] [a] [potentially] [violent] [screenwriter] [is] [a] [murder] [suspect] [until] [his] [lovely] [neighbor] [clear] [him] [however] [she] [soon] [start] [to] [have] [her] [doubt]
Los olvidados,"A group of juvenile delinquents lives a violent and crime-filled life in the festering slums of Mexico City, and the morals of young Pedro are gradually corrupted and destroyed by the others.",[los] [olvidados] [a] [group] [of] [juvenile] [delinquent] [life] [a] [violent] [and] [crimefilled] [life] [in] [the] [festering] [slum] [of] [mexico] [city] [and] [the] [moral] [of] [young] [pedro] [are] [gradually] [corrupted] [and] [destroyed] [by] [the] [others]
Rashômon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",[rashmon] [the] [rape] [of] [a] [bride] [and] [the] [murder] [of] [her] [samurai] [husband] [are] [recalled] [from] [the] [perspective] [of] [a] [bandit] [the] [bride] [the] [samurai] [ghost] [and] [a] [woodcutter]
Sunset Blvd.,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,[sunset] [blvd] [a] [screenwriter] [develops] [a] [dangerous] [relationship] [with] [a] [faded] [film] [star] [determined] [to] [make] [a] [triumphant] [return]
The Asphalt Jungle,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.",[the] [asphalt] [jungle] [a] [major] [heist] [go] [off] [a] [planned] [but] [then] [double] [cross] [bad] [luck] [and] [solid] [police] [work] [cause] [everything] [to] [unravel]
Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",[ace] [in] [the] [hole] [a] [frustrated] [former] [bigcity] [journalist] [now] [stuck] [working] [for] [an] [albuquerque] [newspaper] [exploit] [a] [story] [about] [a] [man] [trapped] [in] [a] [cave] [to] [rekindle] [his] [career] [but] [the] [situation] [quickly] [escalates] [into] [an] [outofcontrol] [circus]
